ids	T2-Ag1:B2C_C_Nov	T2-Ag1:B2T_T_Nov	T2-Ag1:B3T_T_Nov	T2-Ag1:B5C_C_Nov	T2-Ag1:B6C_C_Nov	T2-Ag1:B8T_T_Jul
Both-01902fb7-40e9-43d4-b81e-62e361c4b77a_NC_037647.1:189000	3.0	6.0	17.0	9.0	21.0	8.0
Both-019f1d22-d3c1-46de-8a92-4b14c7c663d6_NC_037639.1:15942000	1.0	3.0	3.0	4.0	1.0	1.0
Both-019fcf5b-8e7c-4d08-9896-aaf0f2c40754_GeneID:726389	1.0	0.0	6.0	1.0	5.0	1.0
Both-01a55233-e3f9-4d7d-af81-23c1e269560c_NC_037642.1:6865000	2.0	4.0	3.0	0.0	4.0	2.0
Both-01a94582-f561-4a23-998f-998c1fb79f41_NC_037639.1:6396000	0.0	0.0	1.0	1.0	0.0	0.0
Both-01c22fd1-e03d-4837-bc3b-c47a7f5c75fe_NC_037642.1:12769000	0.0	1.0	0.0	3.0	7.0	1.0
Both-01c3c141-d649-4f2d-ac8d-3018a1c5a1dd_NC_037646.1:7498000	4.0	3.0	5.0	9.0	6.0	0.0
Both-01d2e626-a6dc-4aff-b5a2-d15493bea89c_NC_037641.1:3732000	0.0	0.0	1.0	1.0	0.0	0.0
Both-01d5469e-6157-4120-88f0-21d18f18e4db_NC_037641.1:3728000	1.0	0.0	1.0	0.0	1.0	0.0
Both-01d755f7-a237-4578-80dc-756ad60dd19d_GeneID:409491	6.0	5.0	21.0	1.0	11.0	5.0
Both-01e5df92-6bd9-4cd2-86bc-ae25add02cdf_NC_037648.1:6993000	2.0	2.0	3.0	2.0	2.0	1.0
Both-01ecb509-6bf4-4cff-8022-658662786aac_GeneID:408589	0.0	2.0	1.0	1.0	8.0	3.0
Both-020e2059-b38b-4a02-a900-756ef5220230_GeneID:692346	0.0	1.0	1.0	0.0	1.0	0.0
Both-02164b2c-595a-4f65-9e83-08c70f45348b_GeneID:410172	3.0	0.0	1.0	1.0	1.0	0.0
Both-02180628-ac79-4047-994e-2a21c6a32300_NC_037647.1:9482000	2.0	2.0	1.0	15.0	11.0	1.0
Both-021829aa-db9a-462b-a9a9-284d230541c9_NC_037653.1:2480000	0.0	1.0	2.0	4.0	1.0	0.0
Both-0219cf48-7434-4849-98ae-4260235ff30d_NC_037641.1:5481000	4.0	3.0	3.0	2.0	3.0	1.0
Both-0222ec74-d638-4ea2-a426-27ff3cb8b92a_NC_037644.1:12386000	3.0	2.0	0.0	5.0	5.0	1.0
Both-02339078-b2db-4058-b406-e065446f3591_NC_037638.1:11759000	0.0	0.0	0.0	2.0	2.0	1.0
Both-0239a3c0-d387-44e7-a43d-2dbf82a45057_NC_037646.1:6179000	2.0	1.0	6.0	2.0	0.0	0.0
Both-023f1ca4-cdc0-454b-a76f-97e0ff0cd4cc_GeneID:727274	0.0	0.0	1.0	0.0	0.0	1.0
Both-024956c0-6af8-484a-8b82-c271dc6b7c1a_GeneID:412077	0.0	0.0	1.0	0.0	0.0	1.0
Both-024fc7ab-a76b-42d3-8926-c1a9d3ac2c86_GeneID:100578161	2.0	0.0	1.0	1.0	3.0	1.0
Both-025404ed-2e2a-454c-96d1-67ff815ffbe0_NC_037638.1:14276000	4.0	1.0	5.0	3.0	6.0	0.0
Both-025fc6a3-c60d-403c-9321-f5205da7ac88_NC_037638.1:18582000	33.0	26.0	155.0	23.0	72.0	29.0
Both-027647c6-7a6f-4ee4-ace7-a18131ff569c_NC_037642.1:6871000	2.0	1.0	1.0	0.0	4.0	0.0
Both-02779a04-c6d1-4fae-bdc8-de2a0d9401c8_NC_037653.1:1204000	2.0	1.0	0.0	1.0	0.0	0.0
Both-028357f7-f60b-4a52-8c3a-7958ff6d242d_NC_037640.1:396000	2.0	0.0	0.0	2.0	0.0	0.0
Both-0285e88d-5daa-4e92-b571-aa9909234980_NC_037639.1:2076000	1.0	2.0	1.0	0.0	0.0	0.0
Both-02884739-f9cc-4b6e-8202-813d77476836_GeneID:409168	2.0	1.0	1.0	4.0	3.0	2.0
Both-0297c896-280c-46aa-ad59-c77d261d2e36_NC_037647.1:9486000	8.0	5.0	3.0	10.0	8.0	3.0
Both-029ac1a9-c623-4845-b330-37a3b696d6bd_GeneID:409322	1.0	1.0	0.0	1.0	0.0	0.0
Both-02a50308-a652-4836-a703-604fb81321e7_GeneID:100576592	8.0	0.0	3.0	3.0	8.0	1.0
Both-02a7d2d3-f47b-4a4d-83ba-09db2c93e70c_GeneID:100216325	54.0	52.0	66.0	138.0	107.0	70.0
Both-02c43b6d-6495-4fac-8409-e30032bc9b7e_NC_037643.1:12997000	0.0	1.0	0.0	0.0	1.0	0.0
Both-02cad574-ec31-4985-906a-48c1f5e648c9_NC_037640.1:644000	1.0	1.0	1.0	4.0	5.0	2.0
Both-02cbc4da-db1d-43e7-891f-32d566160a09_NC_037641.1:12433000	0.0	1.0	0.0	0.0	2.0	1.0
Both-02e921e4-a23a-4ea6-b2ff-9092966402c8_GeneID:552461	1.0	0.0	0.0	1.0	0.0	1.0
Both-02f057dc-d1af-4d61-a542-eb0e8814b3cb_NC_037638.1:25387000	13.0	7.0	16.0	20.0	11.0	4.0
Both-02f10c47-4c21-402d-88a5-49ffdad7a51d_GeneID:552197	1.0	0.0	0.0	0.0	1.0	0.0
Both-02f6d3e2-dec5-4bbc-8f49-b0fb7e8e5e06_NC_037641.1:2023000	0.0	0.0	3.0	0.0	1.0	0.0
Both-02fa1f8e-fb61-4196-838a-3f7c9cbcdae3_NC_037652.1:1555000	0.0	1.0	0.0	0.0	0.0	0.0
Both-02fe1ced-8aca-4fd2-900c-6d5dbd7bac31_GeneID:552253	1.0	1.0	2.0	1.0	0.0	1.0
Both-03096c89-257f-48e6-98c9-48b9cc06a3c0_NC_037642.1:134000	1.0	1.0	0.0	0.0	0.0	0.0
Both-0321a1de-2def-4c47-af2e-832b10e54547_GeneID:724567	1.0	4.0	4.0	1.0	9.0	4.0
Both-0324a856-4ab0-4fa5-8ca3-0cc1bb4a0090_NC_037643.1:3801000	1.0	2.0	0.0	1.0	2.0	0.0
Both-03391fc0-6c32-4602-ba00-d731c5707808_NC_037643.1:5155000	3.0	1.0	1.0	1.0	3.0	1.0
Both-03393d4a-26ea-40f7-92b7-094ae3fcf091_NC_037638.1:2485000	2.0	1.0	4.0	4.0	5.0	2.0
Both-034bc950-6d18-4e91-893f-b678cf310805_NC_037647.1:5684000	0.0	0.0	2.0	0.0	0.0	1.0
Both-034e1f6f-04a4-4a82-9188-7b88a327b6bc_GeneID:412055	0.0	0.0	0.0	1.0	2.0	1.0
Both-03588028-320d-4bc5-9c9a-8dd21ff2bee9_GeneID:413533	0.0	1.0	1.0	1.0	2.0	1.0
Both-0387cbc0-9cde-449c-a215-7b8e4f87f10b_NC_037639.1:11356000	295.0	396.0	515.0	690.0	658.0	301.0
Both-03a89f20-eefb-46e7-8533-c82bcc960ffc_NC_037640.1:4697000	0.0	0.0	0.0	0.0	1.0	1.0
Both-03c7e655-7c35-4d24-ad30-32d0481265d0_NC_037649.1:3064000	0.0	0.0	0.0	0.0	3.0	0.0
Both-03f169e7-d257-4096-b320-e21881e93b63_NC_037652.1:7755000	0.0	0.0	3.0	1.0	3.0	0.0
Both-03f38beb-b897-4219-aec2-a3349b015bd2_NC_037638.1:11741000	2.0	0.0	2.0	2.0	3.0	0.0
Both-03f875c4-8124-4ec2-a446-540298f7e9fb_GeneID:726567	0.0	1.0	0.0	1.0	0.0	0.0
Both-040b8abc-6da7-4f59-aa50-2dc1261383af_NC_037646.1:7880000	2.0	1.0	5.0	3.0	2.0	2.0
Both-040db5aa-0da6-4ba0-b4e2-8c221f5095f5_NC_037648.1:846000	0.0	0.0	0.0	0.0	1.0	0.0
Both-040e8af1-57e9-4d85-961d-be42d4a35152_NC_037644.1:3016000	1.0	4.0	2.0	4.0	4.0	0.0
Both-041fcede-9060-469a-8960-fe5fbcb5d531_NC_037638.1:20539000	0.0	1.0	0.0	2.0	2.0	1.0
Both-043140e9-919b-4bd8-b215-d291a1c9687a_NC_037649.1:8631000	2.0	0.0	3.0	1.0	0.0	0.0
Both-0435ba87-cd01-40fb-8405-cde605938bb9_GeneID:724177	0.0	0.0	1.0	1.0	0.0	1.0
Both-0436da48-8ced-4943-9d8c-4720412cb30b_NC_037647.1:9834000	0.0	0.0	1.0	2.0	5.0	0.0
Both-043988d1-4fb9-43ed-b62e-d0da88312b05_NC_037644.1:1749000	0.0	0.0	1.0	0.0	1.0	1.0
Both-043ef91b-88bc-4f42-8b9e-79532553d2e3_GeneID:552567	1.0	1.0	0.0	0.0	0.0	0.0
Both-044039f2-bc30-480b-9a3b-31f072b430cc_NC_037652.1:3762000	1.0	0.0	0.0	0.0	0.0	0.0
Both-0443c847-01ab-4f11-901b-a12a2d738b04_NC_037648.1:4340000	0.0	0.0	0.0	0.0	2.0	0.0
Both-04453d58-db26-4eb0-8391-daa1a057b81a_NC_037647.1:377000	5.0	3.0	1.0	2.0	3.0	0.0
Both-04454220-a80c-45a8-9e12-3957752a9515_NC_037651.1:5036000	2.0	0.0	1.0	0.0	0.0	0.0
Both-044baa84-ce94-4178-b4e8-265c9c674eee_NC_037646.1:9470000	10.0	5.0	2.0	15.0	2.0	2.0
Both-045a415d-ea4c-4360-9ca9-7a311d8780ef_GeneID:552445	1.0	4.0	3.0	2.0	2.0	1.0
Both-046a9d41-f2d6-4e97-aca0-0d6f2a10b360_NC_037638.1:21032000	0.0	1.0	1.0	0.0	2.0	0.0
Both-046fabcb-e0fd-4286-80f1-958f2fd3b241_NC_037645.1:9828000	7.0	9.0	3.0	11.0	11.0	4.0
Both-048552a4-054d-4cac-a6e0-3ab3f931c818_GeneID:413627	3.0	1.0	9.0	2.0	10.0	1.0
Both-0492465a-abbb-4a73-bb9c-11e2f5421918_GeneID:100578680	1.0	1.0	0.0	0.0	1.0	1.0
Both-04a1c060-103d-4f3e-a589-94ffc4d115c3_NC_037638.1:25324000	1.0	0.0	0.0	3.0	0.0	1.0
Both-04ab7f1a-5cd9-4e8b-9ac7-0a8a01a47d8f_GeneID:725653	0.0	2.0	2.0	1.0	2.0	0.0
Both-04adeb91-7bcd-4ac8-84e3-62149ca76b6b_GeneID:409725	1.0	1.0	2.0	5.0	3.0	2.0
Both-04b17fb9-d42c-432e-a2df-5306dc9b1dee_NW_020555843.1:39000	0.0	0.0	0.0	0.0	1.0	0.0
Both-04b67d51-6580-45d2-b539-dec6de8532ee_NC_037642.1:512000	1.0	3.0	3.0	2.0	3.0	0.0
Both-04bf4f26-3c53-4316-a540-2a0dc441a8d0_GeneID:113219416	1.0	2.0	10.0	4.0	12.0	7.0
Both-04ca7aed-c466-45bf-b8b9-23d23777034c_NC_037653.1:3183000	0.0	0.0	0.0	1.0	2.0	1.0
Both-04cfa5b1-a99b-497a-9bd5-7e48b216a953_GeneID:408541	0.0	0.0	1.0	1.0	0.0	1.0
Both-04db9540-a38e-42bc-a3c2-c5edb52b2671_NC_037638.1:1672000	0.0	0.0	0.0	2.0	1.0	2.0
Both-04dc7da7-1cfe-4e08-95cb-f393eaad3cce_NC_037643.1:12103000	3.0	1.0	0.0	4.0	2.0	0.0
Both-04eb0f36-4362-4257-80e4-d4299d48dae4_GeneID:100577407	1.0	0.0	0.0	0.0	5.0	0.0
Both-04f22b15-b800-47ae-b277-1f74fee42a1b_GeneID:726120	0.0	0.0	1.0	2.0	0.0	0.0
Both-0506c644-ffab-4fa4-9681-8fcac58585a0_GeneID:412360	3.0	0.0	4.0	3.0	10.0	2.0
Both-0519b7c3-6001-4235-aa89-158e325b8552_GeneID:724561	0.0	0.0	4.0	0.0	0.0	0.0
Both-052b1365-60b8-4234-a83e-3e6de793d837_NC_037645.1:8870000	2.0	0.0	0.0	0.0	0.0	0.0
Both-053baa7b-f4d3-4688-8ee5-073736a556fe_NC_037643.1:7082000	3.0	2.0	0.0	4.0	1.0	2.0
Both-053d6a6b-0aba-4a03-a34f-7019b6137351_NC_037649.1:7794000	12.0	6.0	6.0	11.0	12.0	5.0
Both-054562c2-8398-469c-b445-fffb01b3a3c5_GeneID:411822	1.0	0.0	1.0	0.0	1.0	0.0
Both-054ab3a7-dd7d-4d61-a2d0-464c9709da5a_NC_037650.1:1693000	1.0	4.0	0.0	0.0	6.0	1.0
Both-0553c182-332f-42ce-804a-cf6cfb568581_NC_037649.1:8092000	1.0	0.0	0.0	0.0	0.0	1.0
Both-0559d245-22fe-45c0-ad1e-4c9a06240ebd_GeneID:409114	0.0	0.0	0.0	1.0	1.0	1.0
Both-055f443e-4ccb-4de0-9b11-24989e169639_NC_037641.1:5600000	0.0	0.0	1.0	3.0	2.0	1.0
Both-05600f5e-a39b-4a1c-960a-aeba8d40f68a_NC_037638.1:11124000	1.0	1.0	0.0	0.0	0.0	0.0
Both-0560769d-a4e2-4314-8381-70e67e239312_GeneID:411822	0.0	0.0	1.0	0.0	3.0	1.0
Both-05671516-0dd2-4a21-8d65-91455234e053_NC_037642.1:2975000	3.0	3.0	5.0	1.0	2.0	0.0
Both-057ab329-1652-468a-8032-aef5a7466de8_NC_037647.1:10211000	11.0	7.0	14.0	13.0	28.0	18.0
Both-057eaa64-e3fe-4eb0-accf-ce5a858cd822_NC_037651.1:4689000	1.0	1.0	1.0	0.0	3.0	0.0
Both-05847892-c27d-49bb-8c96-53cdef355c94_GeneID:411597	0.0	0.0	2.0	0.0	2.0	0.0
Both-058a642d-512b-405d-9233-ace2870a4cc4_NC_037646.1:6454000	0.0	0.0	0.0	0.0	2.0	0.0
Both-058b55bf-cc9a-4422-a501-9cc648a49f09_NC_037648.1:11105000	2.0	0.0	0.0	0.0	2.0	2.0
Both-0591e88e-bed6-4862-ae3a-10337c924378_NC_037648.1:2314000	1.0	0.0	1.0	1.0	7.0	0.0
Both-05943385-9092-4732-aed8-a8ed246a0560_GeneID:102655983	0.0	0.0	1.0	0.0	0.0	1.0
Both-05950daf-a584-49c4-abbe-6bdde5354277_NC_037651.1:10452000	4.0	2.0	6.0	3.0	9.0	0.0
Both-05c49398-65d6-4776-8b99-a2813e7fa829_NC_037641.1:5460000	2.0	0.0	0.0	3.0	2.0	0.0
Both-05c88bc0-3779-4902-9bc6-728cbe5a2205_NC_037647.1:6008000	3.0	4.0	7.0	8.0	7.0	1.0
Both-05d16ca8-4880-4f11-9e75-e3890051fc6c_GeneID:724593	0.0	1.0	1.0	0.0	0.0	0.0
Both-05f1a9d1-17fe-4023-8bd7-c86d1183677a_GeneID:100577288	2.0	0.0	1.0	2.0	2.0	0.0
Both-0603959f-1fa8-4891-9f91-8acf6e9562a6_NC_037646.1:1684000	1.0	0.0	1.0	1.0	0.0	0.0
Both-06066802-0f99-4305-aaae-def3442e2d48_GeneID:102654365	2.0	1.0	0.0	2.0	1.0	0.0
Both-06071b7b-038e-41b8-9b71-2ad7761846fe_GeneID:726754	0.0	0.0	0.0	0.0	3.0	0.0
Both-060ae68d-553d-48ae-b8a0-3868297c198a_NC_037649.1:7691000	1.0	2.0	0.0	0.0	3.0	0.0
Both-060b5f9d-8c3d-4872-9cad-89a43436136e_NC_037644.1:1913000	0.0	0.0	0.0	0.0	4.0	0.0
Both-0612dd8e-6d4e-4c98-aa17-7d863bfea193_NC_037640.1:6079000	0.0	1.0	1.0	1.0	4.0	0.0
Both-062892cf-0252-4f51-b748-b584ff4358d1_NC_037638.1:5582000	0.0	0.0	0.0	1.0	0.0	0.0
Both-0629408d-6e72-4908-8188-0c60a8b7b493_NC_037638.1:13234000	0.0	0.0	0.0	0.0	1.0	0.0
Both-06353c93-9f01-480e-9e7c-eb28e9549a83_NC_037643.1:16585000	1.0	0.0	2.0	5.0	3.0	0.0
Both-0644465d-adac-4f4f-b42c-55e776b6dfbe_NC_037639.1:2514000	2.0	0.0	0.0	1.0	1.0	1.0
Both-06485b68-1a4e-4046-8f8b-636249aa6319_NC_037639.1:6935000	2.0	0.0	0.0	7.0	1.0	0.0
Both-066554b2-f026-451b-9f1e-21568ea6b1f6_NC_037640.1:6375000	0.0	1.0	1.0	0.0	0.0	1.0
Both-068a9926-acb9-49c4-9dc5-b3731f9bd52b_NC_037652.1:1854000	0.0	0.0	0.0	3.0	2.0	0.0
Both-0691dcc9-24d4-4e98-b79d-b81fd956cb5e_NC_037638.1:9056000	0.0	0.0	1.0	0.0	2.0	1.0
Both-069734cb-b2a2-4d7f-a29f-7fb2f9adf7ff_GeneID:412436	0.0	0.0	0.0	1.0	2.0	2.0
Both-06b5d617-e73d-4324-bcb5-a44e5cb65d33_GeneID:410815	4.0	2.0	5.0	0.0	13.0	3.0
Both-06c57a9b-a32f-47e8-b665-430b8457cf92_NC_037640.1:308000	2.0	3.0	6.0	1.0	3.0	0.0
Both-06c6ee0b-8aa1-4e51-aa62-fa2afe24f3fc_NC_037646.1:5862000	0.0	1.0	1.0	1.0	2.0	1.0
Both-06ce6d51-ec15-4788-9e65-4b33705fa5a5_NC_037645.1:7756000	4.0	0.0	3.0	3.0	3.0	1.0
Both-06d7a3bb-82c3-428e-9b05-22edfc33a510_GeneID:411720	0.0	0.0	1.0	2.0	1.0	0.0
Both-06dfa5bc-bdfa-4c93-a48a-e8658da5208a_GeneID:100576620	0.0	0.0	0.0	1.0	0.0	1.0
Both-06e2c2c0-9589-4c64-a129-e1183691a27b_GeneID:552027	0.0	2.0	1.0	1.0	3.0	1.0
Both-06e6df20-c7d9-4d00-b4bf-2ee9211644d5_NC_037638.1:7932000	1.0	2.0	1.0	2.0	0.0	0.0
Both-06fd893a-921a-4916-9a65-f80dc371b8c5_NC_037640.1:4951000	1.0	0.0	0.0	1.0	1.0	0.0
Both-070cf390-13d6-44cc-8dc3-5c9c78e2749e_NC_037638.1:9125000	1.0	0.0	0.0	1.0	1.0	0.0
Both-071d90e1-e801-4597-ac76-f54eb70fbdba_GeneID:100577053	1.0	0.0	2.0	0.0	0.0	1.0
Both-0721f2e7-a8e9-47e7-9b71-fda55267bdac_NC_037647.1:11443000	0.0	1.0	0.0	0.0	4.0	2.0
Both-0722bd33-9d68-4c99-a347-618bb8b412e6-2_GeneID:551379	11.0	14.0	37.0	3.0	26.0	19.0
Both-0728a42e-2fe7-4a7f-a97f-726d988e685e_GeneID:551365	4.0	1.0	5.0	1.0	5.0	3.0
Both-072bb058-d934-486d-9b94-b12b85410b05_NC_037646.1:11257000	2.0	0.0	4.0	7.0	6.0	2.0
Both-0738c366-94cd-4f64-a5ae-1c149913ffbe_NC_037642.1:12099000	0.0	1.0	1.0	0.0	2.0	0.0
Both-07535e23-d2e4-4a17-8e04-6ccc791de126_GeneID:412476	0.0	0.0	0.0	0.0	1.0	0.0
Both-0753bc9a-0c62-4ccf-b385-4f85a4ad8db1-1_GeneID:412159	11.0	8.0	8.0	9.0	11.0	7.0
Both-07548e5a-2823-457c-a512-23d1d9170a40_NC_037645.1:8562000	20.0	9.0	15.0	23.0	17.0	9.0
Both-075c52fc-2e5d-4f3e-a255-8e7e72049826_NC_037639.1:9943000	6.0	5.0	8.0	4.0	19.0	3.0
Both-076f02b8-333c-4eac-b58d-915f82aaea7a_GeneID:413194	0.0	1.0	1.0	0.0	2.0	1.0
Both-07756588-50c7-4400-89fe-43d10d6d4047_NC_037643.1:16448000	65.0	48.0	60.0	93.0	91.0	39.0
Both-0780cbbf-2781-425a-ba78-755b1354a1c1_GeneID:552648	20.0	14.0	19.0	18.0	55.0	18.0
Both-078e8927-e0f2-49c0-b3af-dbe65ba51f10_NC_037645.1:9463000	0.0	1.0	0.0	2.0	2.0	0.0
Both-079b724d-f63c-4fce-a98a-f2e4a43332f1_NC_037640.1:10257000	3.0	4.0	1.0	2.0	4.0	2.0
Both-07b02ae4-4a4b-4da3-a6e1-728ca99f3c02_GeneID:692346	0.0	0.0	1.0	0.0	1.0	0.0
Both-07b0a069-d19f-4dd7-9db6-f15ba3e0da9a_NC_037653.1:1228000	18.0	9.0	6.0	18.0	10.0	7.0
Both-07bf2484-26c8-4741-b39c-e08b08b25c57_NC_037645.1:7680000	0.0	1.0	1.0	1.0	2.0	3.0
Both-07cf0581-30a1-4154-b39e-b97f09885fa4_NC_037638.1:20626000	2.0	1.0	0.0	3.0	2.0	1.0
Both-07e2e7d6-4681-4b05-bbe4-36b055dedca1_GeneID:411854	0.0	1.0	1.0	0.0	3.0	0.0
Both-07fd70f7-e15e-459c-967d-975d8cc9fbaa_GeneID:409387	0.0	1.0	1.0	0.0	1.0	0.0
Both-0805fda7-2050-4b5b-b51c-20e1a85b33d7_NC_037649.1:7823000	4.0	3.0	3.0	6.0	6.0	0.0
Both-081abc4d-31e8-48be-bc59-e51ac1a71063_NC_037639.1:2390000	1.0	0.0	2.0	1.0	0.0	0.0
Both-081d5c41-56d6-4f8d-9d59-56b0b0784137_NC_037642.1:12259000	0.0	0.0	0.0	1.0	1.0	0.0
Both-081e33b9-0d5a-408a-8b4e-db8ffa6c7f68_NC_037641.1:11581000	12.0	7.0	4.0	16.0	10.0	8.0
Both-083496e8-2dc2-4b95-a935-8beea27b3abf_GeneID:413222	1.0	1.0	5.0	1.0	0.0	0.0
Both-0845b6cc-aafc-4f08-9c0c-9c235a0a5c1b_NC_037639.1:10233000	1.0	5.0	0.0	3.0	7.0	1.0
Both-084d6983-75f2-421f-bd6e-be87f6bfbc06_NC_037643.1:16566000	0.0	0.0	0.0	2.0	0.0	0.0
Both-0857e68f-a7a4-4734-b108-0c6b8ce0c5fc_GeneID:692346	0.0	1.0	2.0	2.0	2.0	1.0
Both-08640b1e-2c2c-44b3-bf66-67ff63ab2397_GeneID:552714	2.0	0.0	0.0	1.0	6.0	0.0
Both-086bc73c-9573-4783-ad70-80333c7588f7_GeneID:409335	1.0	2.0	6.0	3.0	5.0	1.0
Both-087134c1-4df6-4c88-a772-00c33ac6fcf4_GeneID:552044	0.0	3.0	1.0	0.0	2.0	0.0
